Slide Number,Topic,Subject,Title,Category,Filename
1,Course Framing,,Polymorphism Review,Appendix - Practice,
2,Course Framing,,Polymorphism Review,Appendix - Practice,
3,STL Preview,Standard Template Library Preview,Standard Template Library Preview,Appendix - Practice,
4,STL Preview,Standard Template Library Preview,Standard Template Library Preview,Appendix - Practice,
5,STL Preview,Standard Template Library Preview,Standard Template Library Preview,Appendix - Practice,
6,STL Preview,Standard Template Library Preview,Standard Template Library Preview,Appendix - Practice,
7,STL Preview,Standard Template Library Preview,Standard Template Library Preview,Appendix - Practice,
8,Course Planning,,Course Logistics,Agenda,
9,Course Planning,,Course Logistics,Agenda,
10,Course Planning,,Course Logistics,Agenda,
11,Course Planning,,Upcoming Topics,Define,
12,Course Planning,,Upcoming Topics,Define,
13,Course Planning,,Upcoming Topics,Define,
14,Design Exercise,Design Exercise,Design Exercise,Appendix - Practice,
15,Design Exercise,Design Exercise,Design Exercise,Appendix - Practice,
16,Design Exercise,Design Exercise,Design Exercise,Appendix - Practice,
17,STL Preview,Standard Template Library Preview,Standard Template Library Preview,Appendix - Practice,
18,STL Preview,Standard Template Library Preview,Standard Template Library Preview,Appendix - Practice,
19,STL Preview,Standard Template Library Preview,Standard Template Library Preview,Appendix - Practice,
20,STL Preview,Standard Template Library Preview,Standard Template Library Preview,Appendix - Practice,
21,Vectors of Vectors,,Vectors of Vectors,Demonstration,
22,Vectors of Vectors,,Vectors of Vectors,Demonstration,
23,Vectors of Vectors,,Vectors of Vectors,Demonstration,
24,Vectors of Vectors,,Vectors of Vectors,Demonstration,
25,Vectors of Vectors,,Vectors of Vectors,Demonstration,
26,Next Time,,Next Time,Agenda,
